req2_content,req1_content,cos,pos_overlap_ratio,opposite_overlap_count,jaccard,euclidean,levenshtein,jensen_shannon,ngram,bm25,decision
A product can have multiple variants.,User can add a product to the cart.,0.206,0.333,0,0.167,1.26,29,0.713,0,1.967,No
A product can belong to different categories.,User can add a product to the cart.,0.304,0.333,0,0.25,1.18,33,0.6,0,3.185,No
A product cannot have types.,User can add a product to the cart.,0.106,0.333,0,0.083,1.337,27,0.844,0,0.913,No
Product with stock zero will be deleted.,User can add a product to the cart.,0.078,0,0,0,1.358,32,1,0,0,No
A restocked product should appear normally.,User can add a product to the cart.,0.093,0.333,0,0.077,1.346,29,0.856,0,0.984,No
Cart should be easy and dynamic to use.,"In the cart, any item can be removed or count can be changed.",0.15,0.25,0,0.056,1.303,46,0.862,0,1.449,No
Confirmation of cart will take the user to the checkout page.,"In the cart, any item can be removed or count can be changed.",0.117,0.2,0,0.05,1.329,49,0.886,0,1.666,No
Cart will be saved even if the user logs out.,"In the cart, any item can be removed or count can be changed.",0.185,0.25,0,0.105,1.277,46,0.79,0,3.179,No
Cart products cannot be changed.,"In the cart, any item can be removed or count can be changed.",0.288,0.5,0,0.143,1.193,39,0.707,0,2.553,Yes
Cart will be empty if the user session ends.,"In the cart, any item can be removed or count can be changed.",0.197,0.25,0,0.111,1.267,44,0.778,0,3.034,No
Multiple products will be added to cart.,"In the cart, any item can be removed or count can be changed.",0.162,0.25,0,0.059,1.294,46,0.852,0,1.386,No
"In admin panel, the admin can add products to different categories.","In the cart, any item can be removed or count can be changed.",0.159,0,0,0.167,1.297,46,0.717,0,4.998,No
Admin can manage stocks in the inventory.,"In the cart, any item can be removed or count can be changed.",0.23,0,0,0.125,1.241,44,0.749,0,2.772,No
Discount can be applied on any product.,"In the cart, any item can be removed or count can be changed.",0.304,0.25,0,0.2,1.18,40,0.601,0,4.158,No
A product can have multiple variants.,"In the cart, any item can be removed or count can be changed.",0.123,0,0,0.062,1.324,44,0.84,0,1.328,No
A product can belong to different categories.,"In the cart, any item can be removed or count can be changed.",0.111,0,0,0.059,1.333,43,0.852,0,1.386,No
A product cannot have types.,"In the cart, any item can be removed or count can be changed.",0,0,0,0,1.414,46,1,0,0,No
Product with stock zero will be deleted.,"In the cart, any item can be removed or count can be changed.",0.102,0.25,0,0.059,1.34,44,0.852,0,1.386,No
A restocked product should appear normally.,"In the cart, any item can be removed or count can be changed.",0,0,0,0,1.414,48,1,0,0,No
Confirmation of cart will take the user to the checkout page.,Cart should be easy and dynamic to use.,0.11,0,0,0.059,1.334,46,0.894,0,1.445,No
Cart will be saved even if the user logs out.,Cart should be easy and dynamic to use.,0.127,0.5,0,0.125,1.321,29,0.777,0,2.675,No
Cart products cannot be changed.,Cart should be easy and dynamic to use.,0.191,0.5,0,0.182,1.272,27,0.688,0,1.825,No
Cart will be empty if the user session ends.,Cart should be easy and dynamic to use.,0.135,0.5,0,0.133,1.315,29,0.764,0,2.477,No
Multiple products will be added to cart.,Cart should be easy and dynamic to use.,0.253,0.333,0,0.154,1.222,32,0.733,0,2.123,No
"In admin panel, the admin can add products to different categories.",Cart should be easy and dynamic to use.,0.052,0,0,0.059,1.377,50,0.894,0,1.445,No
Admin can manage stocks in the inventory.,Cart should be easy and dynamic to use.,0,0,0,0,1.414,35,1,0,0,No
Discount can be applied on any product.,Cart should be easy and dynamic to use.,0.072,0.5,0,0.071,1.362,29,0.867,0,1.062,No
A product can have multiple variants.,Cart should be easy and dynamic to use.,0,0,0,0,1.414,32,1,0,0,No
A product can belong to different categories.,Cart should be easy and dynamic to use.,0.079,0,0,0.071,1.357,36,0.867,0,1.062,No
A product cannot have types.,Cart should be easy and dynamic to use.,0,0,0,0,1.414,28,1,0,0,No
Product with stock zero will be deleted.,Cart should be easy and dynamic to use.,0.072,0.5,0,0.071,1.362,35,0.867,0,1.062,No
A restocked product should appear normally.,Cart should be easy and dynamic to use.,0.087,0,0,0.077,1.351,34,0.856,0,0.984,No
Cart will be saved even if the user logs out.,Confirmation of cart will take the user to the checkout page.,0.289,0.2,0,0.176,1.192,38,0.677,0,4.544,No
Cart products cannot be changed.,Confirmation of cart will take the user to the checkout page.,0.067,0,0,0,1.366,45,1,0,0,No
Cart will be empty if the user session ends.,Confirmation of cart will take the user to the checkout page.,0.309,0.2,0,0.188,1.175,40,0.659,0,4.298,No
Multiple products will be added to cart.,Confirmation of cart will take the user to the checkout page.,0.19,0,0,0.133,1.272,42,0.775,0,2.567,No
"In admin panel, the admin can add products to different categories.",Confirmation of cart will take the user to the checkout page.,0.135,0,0,0.111,1.315,52,0.784,0,3.204,No
Admin can manage stocks in the inventory.,Confirmation of cart will take the user to the checkout page.,0.12,0,0,0.062,1.327,42,0.839,0,1.284,No
Discount can be applied on any product.,Confirmation of cart will take the user to the checkout page.,0,0,0,0,1.414,47,1,0,0,No
A product can have multiple variants.,Confirmation of cart will take the user to the checkout page.,0,0,0,0,1.414,46,1,0,0,No
A product can belong to different categories.,Confirmation of cart will take the user to the checkout page.,0.061,0,0,0.062,1.37,46,0.887,0,1.284,No
A product cannot have types.,Confirmation of cart will take the user to the checkout page.,0,0,0,0,1.414,48,1,0,0,No
Product with stock zero will be deleted.,Confirmation of cart will take the user to the checkout page.,0.056,0,0,0.062,1.374,45,0.887,0,1.284,No
A restocked product should appear normally.,Confirmation of cart will take the user to the checkout page.,0,0,0,0,1.414,48,1,0,0,No
Cart products cannot be changed.,Cart will be saved even if the user logs out.,0.168,0.5,0,0.154,1.29,32,0.725,0,2.176,No
Cart will be empty if the user session ends.,Cart will be saved even if the user logs out.,0.466,0.667,0,0.462,1.033,19,0.368,0.154,8.285,Yes
Multiple products will be added to cart.,Cart will be saved even if the user logs out.,0.222,0.333,0,0.133,1.248,32,0.763,0,2.445,No
"In admin panel, the admin can add products to different categories.",Cart will be saved even if the user logs out.,0.046,0,0,0.053,1.381,51,0.905,0,1.562,No
Admin can manage stocks in the inventory.,Cart will be saved even if the user logs out.,0.064,0,0,0.062,1.368,34,0.881,0,1.222,No
Discount can be applied on any product.,Cart will be saved even if the user logs out.,0.064,0.333,0,0.062,1.368,34,0.881,0,1.222,No
A product can have multiple variants.,Cart will be saved even if the user logs out.,0,0,0,0,1.414,34,1,0,0,No
A product can belong to different categories.,Cart will be saved even if the user logs out.,0,0,0,0,1.414,38,1,0,0,No
A product cannot have types.,Cart will be saved even if the user logs out.,0,0,0,0,1.414,36,1,0,0,No
Product with stock zero will be deleted.,Cart will be saved even if the user logs out.,0.138,0.333,0,0.133,1.313,35,0.763,0,2.445,No
A restocked product should appear normally.,Cart will be saved even if the user logs out.,0,0,0,0,1.414,37,1,0,0,No
Cart will be empty if the user session ends.,Cart products cannot be changed.,0.179,0.5,0,0.167,1.282,30,0.707,0,1.321,No
Multiple products will be added to cart.,Cart products cannot be changed.,0.345,0.5,0,0.2,1.145,25,0.664,0,1.033,Yes
"In admin panel, the admin can add products to different categories.",Cart products cannot be changed.,0.067,0.25,0,0.071,1.366,49,0.87,0,0.848,No
Admin can manage stocks in the inventory.,Cart products cannot be changed.,0,0,0,0,1.414,33,1,0,0,No
Discount can be applied on any product.,Cart products cannot be changed.,0.093,0.5,0,0.091,1.346,30,0.832,0,0.517,No
A product can have multiple variants.,Cart products cannot be changed.,0,0,0,0,1.414,24,1,0,0,No
A product can belong to different categories.,Cart products cannot be changed.,0,0,0,0,1.414,28,1,0,0,No
A product cannot have types.,Cart products cannot be changed.,0.127,0,0,0.111,1.321,14,0.8,0,0.404,No
Product with stock zero will be deleted.,Cart products cannot be changed.,0.093,0.5,0,0.091,1.346,29,0.832,0,0.517,No
A restocked product should appear normally.,Cart products cannot be changed.,0,0,0,0,1.414,29,1,0,0,No
Multiple products will be added to cart.,Cart will be empty if the user session ends.,0.236,0.333,0,0.143,1.236,33,0.749,0,2.3,No
"In admin panel, the admin can add products to different categories.",Cart will be empty if the user session ends.,0.049,0,0,0.056,1.379,50,0.9,0,1.512,No
Admin can manage stocks in the inventory.,Cart will be empty if the user session ends.,0.068,0,0,0.067,1.365,36,0.874,0,1.15,No
Discount can be applied on any product.,Cart will be empty if the user session ends.,0.068,0.5,0,0.067,1.365,36,0.874,0,1.15,No
A product can have multiple variants.,Cart will be empty if the user session ends.,0,0,0,0,1.414,35,1,0,0,No
A product can belong to different categories.,Cart will be empty if the user session ends.,0,0,0,0,1.414,35,1,0,0,No
A product cannot have types.,Cart will be empty if the user session ends.,0,0,0,0,1.414,35,1,0,0,No
Product with stock zero will be deleted.,Cart will be empty if the user session ends.,0.146,0.5,0,0.143,1.307,35,0.749,0,2.3,No
A restocked product should appear normally.,Cart will be empty if the user session ends.,0,0,0,0,1.414,37,1,0,0,No
"In admin panel, the admin can add products to different categories.",Multiple products will be added to cart.,0.119,0.25,0,0.133,1.327,49,0.775,0,2.69,No
Admin can manage stocks in the inventory.,Multiple products will be added to cart.,0,0,0,0,1.414,34,1,0,0,No
Discount can be applied on any product.,Multiple products will be added to cart.,0.078,0.333,0,0.077,1.358,32,0.857,0,0.946,No
A product can have multiple variants.,Multiple products will be added to cart.,0.093,0,0,0,1.346,29,1,0,0,No
A product can belong to different categories.,Multiple products will be added to cart.,0.085,0,0,0.077,1.353,34,0.857,0,0.946,No
A product cannot have types.,Multiple products will be added to cart.,0,0,0,0,1.414,26,1,0,0,No
Product with stock zero will be deleted.,Multiple products will be added to cart.,0.168,0.333,0,0.167,1.29,29,0.714,0,1.892,No
A restocked product should appear normally.,Multiple products will be added to cart.,0,0,0,0,1.414,27,1,0,0,No
Admin can manage stocks in the inventory.,"In admin panel, the admin can add products to different categories.",0.366,0,0,0.133,1.126,43,0.775,0,2.567,Yes
Discount can be applied on any product.,"In admin panel, the admin can add products to different categories.",0.056,0,0,0.062,1.374,48,0.887,0,1.284,No
A product can have multiple variants.,"In admin panel, the admin can add products to different categories.",0.067,0,0,0.067,1.366,50,0.879,0,1.217,No
A product can belong to different categories.,"In admin panel, the admin can add products to different categories.",0.304,0.5,0,0.308,1.18,33,0.549,0.077,5.135,Yes
A product cannot have types.,"In admin panel, the admin can add products to different categories.",0,0,0,0,1.414,51,1,0,0,No
Product with stock zero will be deleted.,"In admin panel, the admin can add products to different categories.",0,0,0,0,1.414,50,1,0,0,No
A restocked product should appear normally.,"In admin panel, the admin can add products to different categories.",0,0,0,0,1.414,50,1,0,0,No
Discount can be applied on any product.,Admin can manage stocks in the inventory.,0.078,0,0,0.077,1.358,31,0.857,0,0.946,No
A product can have multiple variants.,Admin can manage stocks in the inventory.,0.093,0,0,0.083,1.346,30,0.846,0,0.867,No
A product can belong to different categories.,Admin can manage stocks in the inventory.,0.085,0,0,0.077,1.353,32,0.857,0,0.946,No
A product cannot have types.,Admin can manage stocks in the inventory.,0,0,0,0,1.414,31,1,0,0,No
Product with stock zero will be deleted.,Admin can manage stocks in the inventory.,0,0,0,0,1.414,31,1,0,0,No
A restocked product should appear normally.,Admin can manage stocks in the inventory.,0,0,0,0,1.414,33,1,0,0,No
A product can have multiple variants.,Discount can be applied on any product.,0.206,0.5,0,0.083,1.26,28,0.846,0,0.867,No
A product can belong to different categories.,Discount can be applied on any product.,0.184,0.5,0,0.077,1.277,30,0.857,0,0.946,No
A product cannot have types.,Discount can be applied on any product.,0.106,0.5,0,0,1.337,27,1,0,0,No
Product with stock zero will be deleted.,Discount can be applied on any product.,0.168,0.5,0,0.077,1.29,33,0.857,0,0.946,No
A restocked product should appear normally.,Discount can be applied on any product.,0.093,0.5,0,0,1.346,35,1,0,0,No
A product can belong to different categories.,A product can have multiple variants.,0.226,0.5,0,0.3,1.244,24,0.538,0.125,2.345,Yes
A product cannot have types.,A product can have multiple variants.,0.291,1,0,0.375,1.191,16,0.453,0,1.91,Yes
Product with stock zero will be deleted.,A product can have multiple variants.,0.093,0,0,0,1.346,29,1,0,0,No
A restocked product should appear normally.,A product can have multiple variants.,0.112,0.5,0,0.2,1.332,31,0.667,0,1.411,No
A product cannot have types.,A product can belong to different categories.,0.115,0.5,0,0.2,1.33,23,0.664,0,1.589,No
Product with stock zero will be deleted.,A product can belong to different categories.,0.085,0,0,0,1.353,30,1,0,0,No
A restocked product should appear normally.,A product can belong to different categories.,0.102,0.5,0,0.182,1.34,35,0.692,0,1.733,No
Product with stock zero will be deleted.,A product cannot have types.,0.106,0,0,0,1.337,29,1,0,0,No
A restocked product should appear normally.,A product cannot have types.,0.127,0.5,0,0.222,1.321,29,0.636,0,0.914,No
A restocked product should appear normally.,Product with stock zero will be deleted.,0.093,0,0,0,1.346,36,1,0,0,No
